Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
57	1.0	0.0	1.0	1.0	136.77142	0.5266979	0.069626145	0.6255629	0.20724627	290000	1.4901161e-09	0.04142334	-0.0031236666	-0.002569186	0.73267686	0.0040717395	0.0356	79.0	276.2556109428406
58	1.0	0.0	1.0	1.0	133.88571	0.5410356	0.075651996	0.6068049	0.16328397	295000	-5.2154063e-09	0.03929028	-0.0017176007	-0.0010285996	0.7240727	0.016562974	0.227	4.0	278.9201879501343
59	0.94358975	0.24262968	1.0	-0.1	122.76923	0.5382753	0.08315511	0.60299873	0.18544036	300000	4.4703485e-09	0.053061523	-0.0034060136	-0.008354341	0.7239882	0.007455048	0.0472	79.0	284.4138112068176
60	0.9175	0.2897305	1.0	-0.1	120.025	0.5014485	0.1380034	0.62405336	-0.1862209	305000	2.9802322e-08	0.06923667	-0.0046070768	-0.020994784	0.71082807	0.004602404	0.050199997	79.0	289.99262976646423
61	0.9725	0.17173745	1.0	-0.1	115.775	0.5512584	0.11674139	0.65202045	-0.12318581	310000	2.1979213e-08	0.050297387	-0.0030766528	-0.010692675	0.70215625	0.0064378185	0.033200003	79.0	295.602294921875
62	0.89	0.32999998	1.0	-0.1	115.15	0.55719435	0.0928173	0.6342277	0.13280748	315000	-1.7881394e-08	0.06510732	-0.0029774674	-0.006040486	0.7134818	0.0031792677	0.0344	79.0	301.10942673683167
63	0.947619	0.23425475	1.0	-0.1	112.71429	0.5050043	0.10878777	0.6118741	0.06494002	320000	-7.450581e-09	0.05485358	-0.0034162537	-0.0063833073	0.7076251	0.004102062	0.0344	79.0	306.6987452507019
64	1.0	0.0	1.0	1.0	107.933334	0.5547927	0.09676497	0.68676245	0.15813616	325000	8.0093745e-09	0.034447517	-0.0046442933	-0.0054990137	0.697532	0.00601934	0.056599997	79.0	312.4116497039795
65	0.74418604	0.46470913	1.0	-0.1	109.976746	0.61452585	0.08327941	0.67819726	0.27002782	330000	5.9604646e-09	0.12984456	-0.0018914815	-0.044230934	0.6877902	0.017468503	0.1796	4.0	315.0238757133484
66	0.9511111	0.22668846	1.0	-0.1	105.04444	0.4296757	0.13972571	0.6749579	-0.0756113	335000	2.2351743e-09	0.08224193	-0.004978752	-0.037522603	0.68785083	0.007351123	0.0524	79.0	320.74924659729004
67	1.0	0.0	1.0	1.0	103.2	0.5806429	0.08723002	0.67128354	0.13842997	340000	-1.1175871e-08	0.032479417	-0.0027650963	-0.0041120155	0.69530934	0.003907018	0.031	79.0	326.25526571273804
68	1.0	0.0	1.0	1.0	101.297874	0.6165999	0.084995925	0.7161314	0.28050596	345000	7.450581e-09	0.027649725	-0.0028193693	-0.00048954634	0.6810401	0.004730339	0.0266	79.0	331.86845111846924
69	0.9266666	0.27438822	1.0	-0.1	105.844444	0.6052021	0.08714482	0.68046373	0.25083506	350000	0.0	0.05690999	-0.005474652	-0.0049265753	0.6705414	0.009088434	0.0714	79.0	337.49245715141296
70	1.0	0.0	1.0	1.0	101.891304	0.59947824	0.08867253	0.6759585	0.12914152	355000	0.0	0.030424356	-0.0023391459	-0.0026584237	0.6586888	0.0027170372	0.025599997	79.0	343.205016374588
71	0.9755556	0.16214609	1.0	-0.1	103.22222	0.6180867	0.083508566	0.6944926	0.27454904	360000	3.7252903e-09	0.037362754	-0.004487543	-0.0022377209	0.65615976	0.0040882393	0.047399998	79.0	348.71424436569214
72	1.0	0.0	1.0	1.0	101.333336	0.59405196	0.09536239	0.6743811	0.17318013	365000	1.0430813e-08	0.031366408	-0.0020451064	-0.0031124917	0.65915465	0.004808145	0.024400001	79.0	354.3601162433624
73	0.97659576	0.15873538	1.0	-0.1	101.723404	0.60440755	0.09406945	0.69206333	0.20260622	370000	-4.4703485e-09	0.034706455	-0.0050332746	-0.0045932243	0.66335046	0.0063395738	0.0466	79.0	359.8303396701813
74	0.95319146	0.22203226	1.0	-0.1	100.53191	0.61748904	0.10192178	0.7118208	0.069163725	375000	-1.7881394e-08	0.045883913	-0.0051438347	-0.008530632	0.6471198	0.006541842	0.055	79.0	365.48690009117126
75	0.956	0.21555509	1.0	-0.1	97.66	0.5927665	0.104434155	0.6938243	0.12587875	380000	0.0	0.03706394	-0.0036891964	-0.0032267917	0.6335113	0.003745957	0.0366	79.0	371.0039207935333
76	0.97800004	0.154	1.0	-0.1	97.32	0.6143737	0.13391781	0.7375936	-0.08461527	385000	-8.940697e-09	0.03236999	-0.004067072	-0.0031417597	0.63265634	0.0011637993	0.037800003	79.0	376.64911103248596
77	1.0	0.0	1.0	1.0	97.76	0.62988585	0.09993609	0.7035616	0.07894543	390000	-7.450581e-09	0.027660245	-0.0041933144	-0.0024400596	0.633775	0.006568998	0.0528	79.0	382.27844309806824
78	0.97800004	0.154	1.0	-0.1	94.04	0.64119804	0.08800233	0.6951031	0.27190292	395000	-4.4703485e-09	0.031625398	-0.0031520904	-0.0034747166	0.61868453	0.003470522	0.0328	79.0	388.0092422962189
79	0.93399996	0.2612355	1.0	-0.1	94.08	0.61652267	0.11517285	0.7148786	0.054756396	400000	-1.0430813e-08	0.036859237	-0.0055147884	-0.008825846	0.6178835	0.006256625	0.0546	79.0	393.5852572917938
80	0.9792453	0.14966439	1.0	-0.1	90.754715	0.5760163	0.16694355	0.74001706	-0.14488725	405000	-1.1920929e-08	0.060560405	-0.0032570348	-0.029767653	0.6126188	0.004603375	0.0354	79.0	399.27281069755554
81	0.95686275	0.21351852	1.0	-0.1	91.21568	0.6289998	0.09789977	0.7300216	0.22378287	410000	-6.7055224e-09	0.043092493	-0.0062968796	-0.002118009	0.6029228	0.004528422	0.0602	79.0	404.763147354126
82	1.0	0.0	1.0	1.0	91.05769	0.6181411	0.08724083	0.6920886	0.2625253	415000	-8.940697e-09	0.025828332	-0.0026526737	-0.0024495008	0.58445084	0.0061881533	0.0266	79.0	410.33454155921936
83	0.98	0.1469694	1.0	-0.1	89.0	0.6493601	0.090027235	0.72937614	0.3028223	420000	-1.7881394e-08	0.030883655	-0.0031549446	-0.005688376	0.5828369	0.0035380803	0.0342	79.0	415.86383032798767
84	1.0	0.0	1.0	1.0	84.73684	0.6334015	0.1119056	0.7345597	0.09331076	425000	0.0	0.027522495	-0.0058667874	-0.007287393	0.5950644	0.004089015	0.056	79.0	421.3387017250061
85	0.98035717	0.14567535	1.0	-0.1	83.625	0.6646202	0.08867165	0.7264859	0.32722157	430000	-8.940697e-09	0.028944526	-0.004379146	-0.0014565758	0.5914844	0.004471362	0.0384	79.0	426.9682595729828
86	1.0	0.0	1.0	1.0	81.9	0.65729475	0.09045912	0.72752374	0.2791801	435000	6.146729e-09	0.01992319	-0.0022768697	-0.00097475795	0.5874073	0.0035696041	0.0258	79.0	432.58966302871704
